time,predicted_data
2025-07-31 19:00:00+05:30,4.140222
2025-07-31 20:00:00+05:30,3.7696192
2025-07-31 21:00:00+05:30,3.5746982
2025-07-31 22:00:00+05:30,3.4852362
2025-07-31 23:00:00+05:30,3.4257722
2025-08-01 00:00:00+05:30,3.3681617
2025-08-01 01:00:00+05:30,3.3813374
2025-08-01 02:00:00+05:30,3.3420124
2025-08-01 03:00:00+05:30,3.3295853
2025-08-01 04:00:00+05:30,3.2414863
2025-08-01 05:00:00+05:30,3.1490254
2025-08-01 06:00:00+05:30,3.1269598
2025-08-01 07:00:00+05:30,3.119701
2025-08-01 08:00:00+05:30,3.1050973
2025-08-01 09:00:00+05:30,3.053087
2025-08-01 10:00:00+05:30,3.032446
2025-08-01 11:00:00+05:30,3.811807
2025-08-01 12:00:00+05:30,3.893118
2025-08-01 13:00:00+05:30,3.8987339
2025-08-01 14:00:00+05:30,3.9996886
2025-08-01 15:00:00+05:30,4.024372
2025-08-01 16:00:00+05:30,4.025419
2025-08-01 17:00:00+05:30,3.966092
2025-08-01 18:00:00+05:30,3.76504
